ticker,date,time,title,compound
BITO,2021-12-10,05:49PM,BNY Mellon Global Head of ETFs expects flows to ETFs from mutual funds,0.0
BITO,2021-12-07,04:20PM,"Cathie Woods $560,000 Bitcoin call is now a 988% upside play  here's how to take advantage of the cryptocurrency's slide",0.5267
BITO,2024-10-19,N/A,What To Watch For In ETFs In 2022,0.0
BITO,2021-12-06,08:30AM,ProShares Announces Appointment of Eric Dash As Chief Content and Communications Officer,0.0
BITO,2021-12-01,12:10PM,ProShares CEO Michael Sapir Named to Bloomberg Businessweek's 2021 Bloomberg 50 List,0.0
BITO,2021-11-28,01:30PM,Forget Cathie Woods $500K Bitcoin call  the new price target is $560K,-0.2263
BITO,2021-11-23,04:46PM,Macys entering the NFT space was inevitable: Decrypt Editor-in-Chief,0.0
BITO,2021-11-19,05:25PM,How the infrastructure bill may impact crypto investors,0.0
BITO,2024-10-19,N/A,"Crypto: 'There's a lot of concern about SEC, regulatory overreach,' CoinShares strategist says",0.0
BITO,2021-11-18,06:00AM,Bitcoin Should Scale New Heights With Help From the Taproot Upgrade,0.4019
BITO,2021-11-17,09:57AM,Latest Bitcoin ETF rallies in 2nd day as asset class soars in popularity,0.6808
BITO,2021-11-16,04:33PM,"Despite Jamie Dimon blasting Bitcoin as 'worthless,' JPMorgan just set a new price target for the crypto of $146,000  here's how to jump in",0.0
BITO,2024-10-19,N/A,VanEck's Bitcoin Strategy ETF Begins Trading at Cboe,0.0
BITO,2024-10-19,N/A,Another Bitcoin Futures ETF Launched Today. But Bitcoin Itself Is Ailing.,0.0644
BITO,2021-11-15,01:25PM,"Bitcoin: Taproot upgrades, which enable scalability, help fuel recent gains",0.6249
BITO,2021-11-12,03:30PM,VanEck To Launch Bitcoin Futures ETF,0.0
BITO,2024-10-19,N/A,Hopes for a spot bitcoin ETF in 2021 have just been dashed,0.4215
BITO,2021-11-11,12:04PM,"Cryptocurrency: 'We're in an inflection point with regulation,' FTX US president says",0.0
BITO,2021-11-08,11:58AM,The bitcoin futures ETF was a huge watershed moment for crypto: Strategist,0.3182
BITO,2021-11-06,02:21PM,Kiyosaki: The US stock market is headed for 'giant crash' followed by a new depression  here are the only 3 assets he likes as protection,-0.4404
BITO,2021-11-05,08:58AM,Australia Approves Long-Awaited Spot Bitcoin ETF,0.4019
BITO,2021-11-04,06:00AM,Bitcoin is a huge user of electricity: Tom Steyer,0.3182
BITO,2021-11-03,12:21PM,Michael Burry just dismissed red-hot meme coin Shiba Inu as 'pointless'  try these 3 mainstream crypto avenues instead,0.0
BITO,2021-10-30,08:00AM,Cathie Wood's $500K Bitcoin call is already happening  how to ride the wave to half a million,0.0
BITO,2021-10-29,12:08PM,The 'future looks bright' for Ethereum: Analyst,0.4404
BITO,2021-10-28,03:03PM,Grayscales LaValle sees potential for the SEC to approve its spot bitcoin ETF by July 2022,0.0
BITO,2024-10-19,N/A,Volt Crypto Industry Revolution and Tech ETF pops in debut,0.0
BITO,2021-10-27,04:34PM,Bitcoin's retreat from $66K may signal a whipsaw end to an 'emotional' year,0.2023
BITO,2024-10-19,N/A,There are very tangible benefits' that come from digital currencies: Citi CEO,0.4364
BITO,2021-10-26,06:00PM,Billionaire Tudor Jones: This is the single biggest threat' to stocks and society  protect yourself now,-0.2023
BITO,2021-10-25,07:19PM,Bakkt CEO on the interconnection between crypto and the traditional financial system,0.0
BITO,2024-10-19,N/A,Crypto 'can be' part of a diversified portfolio: Morningstar's Amy Arnott,0.0
BITO,2024-10-19,N/A,"Cryptocurrency panel discusses innovation, investment opportunities",0.6369
BITO,2024-10-19,N/A,Crypto 'can be' a part of a diversified portfolio: Morningstar's Amy Arnott,0.0
BITO,2024-10-19,N/A,Bitcoin & Black America Author: The Fed should take a hard look at bitcoin as a reserve asset,0.2732
